7590-VHVEG,1,No,No phone service,No,Month-to-month,Electronic check,2985,No
5575-GNVDE,34,Yes,No,No,One year,Mailed check,5695,No
3668-QPYBK,2,Yes,No,No,Month-to-month,Mailed check,5385,Yes
9305-CDSKC,8,Yes,Yes,Yes,Month-to-month,Electronic check,9965,Yes
1452-KIOVK,22,Yes,Yes,Yes,Month-to-month,Credit card (automatic),891,No
6713-OKOMC,10,No,No phone service,No,Month-to-month,Mailed check,2975,No
7892-POOKP,28,Yes,Yes,Yes,Month-to-month,Electronic check,1048,Yes
6388-TABGU,62,Yes,No,No,One year,Bank transfer (automatic),5615,No
9763-GRSKD,13,Yes,No,No,Month-to-month,Mailed check,4995,No
7469-LKBCI,16,Yes,No,No internet service,Two year,Credit card (automatic),1895,No
8091-TTVAX,58,Yes,Yes,Yes,One year,Credit card (automatic),10035,No
0280-XJGEX,49,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),1037,Yes
3655-SNQYZ,69,Yes,Yes,Yes,Two year,Credit card (automatic),11325,No
8191-XWSZG,52,Yes,No,No internet service,One year,Mailed check,2065,No
4190-MFLUW,10,Yes,No,No,Month-to-month,Credit card (automatic),552,Yes
4183-MYFRB,21,Yes,No,No,Month-to-month,Electronic check,9005,No
8779-QRDMV,1,No,No phone service,No,Month-to-month,Electronic check,3965,Yes
1680-VDCWW,12,Yes,No,No internet service,One year,Bank transfer (automatic),198,No
1066-JKSGK,1,Yes,No,No internet service,Month-to-month,Mailed check,2015,Yes
3638-WEABW,58,Yes,Yes,No,Two year,Credit card (automatic),599,No
6322-HRPFA,49,Yes,No,No,Month-to-month,Credit card (automatic),596,No
6467-CHFZW,47,Yes,Yes,Yes,Month-to-month,Electronic check,9935,Yes
8665-UTDHZ,1,No,No phone service,No,Month-to-month,Electronic check,302,Yes
5248-YGIJN,72,Yes,Yes,Yes,Two year,Credit card (automatic),9025,No
8773-HHUOZ,17,Yes,No,Yes,Month-to-month,Mailed check,647,Yes
3841-NFECX,71,Yes,Yes,No,Two year,Credit card (automatic),9635,No
4929-XIHVW,2,Yes,No,Yes,Month-to-month,Credit card (automatic),955,No
6827-IEAUQ,27,Yes,No,No,One year,Mailed check,6615,No
7310-EGVHZ,1,Yes,No,No internet service,Month-to-month,Bank transfer (automatic),202,No
6234-RAAPL,72,Yes,Yes,Yes,Two year,Bank transfer (automatic),999,No
6047-YHPVI,5,Yes,No,No,Month-to-month,Electronic check,697,Yes
6572-ADKRS,46,Yes,No,No,Month-to-month,Credit card (automatic),748,No
5380-WJKOV,34,Yes,Yes,Yes,Month-to-month,Electronic check,10635,Yes
8168-UQWWF,11,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),9785,Yes
8865-TNMNX,10,Yes,No,No,One year,Mailed check,4955,No
9489-DEDVP,70,Yes,Yes,Yes,Two year,Credit card (automatic),692,No
9867-JCZSP,17,Yes,No,No internet service,One year,Mailed check,2075,No
4671-VJLCL,63,Yes,Yes,Yes,Two year,Credit card (automatic),7985,No
4080-IIARD,13,Yes,Yes,Yes,Month-to-month,Electronic check,762,No
3714-NTNFO,49,Yes,Yes,No,Month-to-month,Electronic check,845,No
5948-UJZLF,2,Yes,No,No,Month-to-month,Mailed check,4925,No
7760-OYPDY,2,Yes,No,Yes,Month-to-month,Electronic check,8065,Yes
7639-LIAYI,52,Yes,Yes,Yes,Two year,Credit card (automatic),7975,No
2954-PIBKO,69,Yes,Yes,No,Two year,Credit card (automatic),6415,No
8012-SOUDQ,43,Yes,Yes,Yes,Month-to-month,Electronic check,9025,No
9420-LOJKX,15,Yes,No,Yes,Month-to-month,Credit card (automatic),991,Yes
6575-SUVOI,25,Yes,Yes,Yes,Month-to-month,Credit card (automatic),695,No
7495-OOKFY,8,Yes,Yes,No,Month-to-month,Credit card (automatic),8065,Yes
4667-QONEA,60,Yes,No,No,One year,Credit card (automatic),7485,No
1658-BYGOY,18,Yes,Yes,Yes,Month-to-month,Electronic check,9545,Yes
8769-KKTPH,63,Yes,Yes,Yes,One year,Credit card (automatic),9965,No
5067-XJQFU,66,Yes,Yes,Yes,One year,Electronic check,10845,No
3957-SQXML,34,Yes,Yes,No internet service,Two year,Credit card (automatic),2495,No
5954-BDFSG,72,Yes,Yes,Yes,Two year,Credit card (automatic),1075,No
0434-CSFON,47,Yes,Yes,Yes,Month-to-month,Electronic check,1005,No
0526-SXDJP,72,No,No phone service,No,Two year,Bank transfer (automatic),421,No
0557-ASKVU,18,Yes,No,No,One year,Credit card (automatic),544,No
5698-BQJOH,9,Yes,Yes,Yes,Month-to-month,Electronic check,944,Yes
5122-CYFXA,3,Yes,No,Yes,Month-to-month,Electronic check,753,No
3410-YOQBQ,31,Yes,No,Yes,Two year,Mailed check,792,No
3170-NMYVV,50,Yes,No,No internet service,Two year,Bank transfer (automatic),2015,No
7410-OIEDU,10,Yes,No,No,Month-to-month,Mailed check,7985,No
2273-QCKXA,1,Yes,No,No,Month-to-month,Mailed check,4905,No
0731-EBJQB,52,Yes,No,No internet service,One year,Electronic check,204,No
1891-QRQSA,64,Yes,Yes,Yes,Two year,Bank transfer (automatic),1116,No
8028-PNXHQ,62,Yes,Yes,NA,Two year,Bank transfer (automatic),2425,No
5630-AHZIL,3,Yes,No,No,Month-to-month,Bank transfer (automatic),645,No
2673-CXQEU,56,Yes,Yes,Yes,One year,Electronic check,1105,No
6416-JNVRK,46,Yes,No,No,One year,Credit card (automatic),5565,No
3887-PBQAO,45,Yes,Yes,No internet service,One year,Credit card (automatic),259,No
8108-UXRQN,11,No,No phone service,Yes,Month-to-month,Electronic check,5055,No
9191-MYQKX,7,Yes,No,No,Month-to-month,Bank transfer (automatic),7515,Yes
9919-YLNNG,42,Yes,No,Yes,Month-to-month,Bank transfer (automatic),1038,No
